trafficway_type,alignment,roadway_surface_condition,road_defect
PARKING LOT,CURVE ON HILLCREST,WET,NO DEFECTS
PARKING LOT,"CURVE, LEVEL",DRY,NO DEFECTS
PARKING LOT,STRAIGHT AND LEVEL,DRY,NO DEFECTS
PARKING LOT,STRAIGHT AND LEVEL,DRY,SHOULDER DEFECT
PARKING LOT,STRAIGHT AND LEVEL,DRY,UNKNOWN
PARKING LOT,STRAIGHT AND LEVEL,ICE,UNKNOWN
PARKING LOT,STRAIGHT AND LEVEL,OTHER,UNKNOWN
PARKING LOT,STRAIGHT AND LEVEL,"SAND, MUD, DIRT",OTHER
PARKING LOT,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS
PARKING LOT,STRAIGHT AND LEVEL,SNOW OR SLUSH,UNKNOWN
PARKING LOT,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS
PARKING LOT,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN
PARKING LOT,STRAIGHT AND LEVEL,WET,NO DEFECTS
PARKING LOT,STRAIGHT AND LEVEL,WET,OTHER
PARKING LOT,STRAIGHT AND LEVEL,WET,UNKNOWN
PARKING LOT,STRAIGHT AND LEVEL,WET,WORN SURFACE
PARKING LOT,STRAIGHT ON GRADE,DRY,NO DEFECTS
PARKING LOT,STRAIGHT ON GRADE,DRY,UNKNOWN
PARKING LOT,STRAIGHT ON GRADE,WET,NO DEFECTS
PARKING LOT,STRAIGHT ON HILLCREST,WET,NO DEFECTS
RAMP,CURVE ON GRADE,DRY,NO DEFECTS
RAMP,CURVE ON GRADE,DRY,UNKNOWN
RAMP,CURVE ON GRADE,DRY,WORN SURFACE
RAMP,CURVE ON GRADE,ICE,NO DEFECTS
RAMP,CURVE ON GRADE,SNOW OR SLUSH,NO DEFECTS
RAMP,CURVE ON GRADE,UNKNOWN,UNKNOWN
RAMP,CURVE ON GRADE,WET,NO DEFECTS
RAMP,CURVE ON GRADE,WET,UNKNOWN
RAMP,CURVE ON HILLCREST,DRY,NO DEFECTS
RAMP,CURVE ON HILLCREST,SNOW OR SLUSH,NO DEFECTS
RAMP,"CURVE, LEVEL",DRY,NO DEFECTS
RAMP,"CURVE, LEVEL",DRY,UNKNOWN
RAMP,"CURVE, LEVEL",ICE,UNKNOWN
RAMP,"CURVE, LEVEL",WET,UNKNOWN
RAMP,STRAIGHT AND LEVEL,DRY,NO DEFECTS
RAMP,STRAIGHT AND LEVEL,DRY,OTHER
RAMP,STRAIGHT AND LEVEL,DRY,"RUT, HOLES"
RAMP,STRAIGHT AND LEVEL,DRY,UNKNOWN
RAMP,STRAIGHT AND LEVEL,DRY,WORN SURFACE
RAMP,STRAIGHT AND LEVEL,ICE,NO DEFECTS
RAMP,STRAIGHT AND LEVEL,OTHER,NO DEFECTS
RAMP,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS
RAMP,STRAIGHT AND LEVEL,SNOW OR SLUSH,UNKNOWN
RAMP,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS
RAMP,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN
RAMP,STRAIGHT AND LEVEL,WET,NO DEFECTS
RAMP,STRAIGHT AND LEVEL,WET,OTHER
RAMP,STRAIGHT AND LEVEL,WET,UNKNOWN
RAMP,STRAIGHT ON GRADE,DRY,NO DEFECTS
RAMP,STRAIGHT ON GRADE,DRY,UNKNOWN
RAMP,STRAIGHT ON GRADE,SNOW OR SLUSH,NO DEFECTS
RAMP,STRAIGHT ON GRADE,UNKNOWN,UNKNOWN
RAMP,STRAIGHT ON GRADE,WET,NO DEFECTS
RAMP,STRAIGHT ON GRADE,WET,UNKNOWN
RAMP,STRAIGHT ON HILLCREST,DRY,NO DEFECTS
RAMP,STRAIGHT ON HILLCREST,DRY,UNKNOWN
RAMP,STRAIGHT ON HILLCREST,UNKNOWN,UNKNOWN
RAMP,STRAIGHT ON HILLCREST,WET,NO DEFECTS
ROUNDABOUT,CURVE ON GRADE,DRY,NO DEFECTS
ROUNDABOUT,"CURVE, LEVEL",DRY,NO DEFECTS
ROUNDABOUT,"CURVE, LEVEL",DRY,"RUT, HOLES"
ROUNDABOUT,"CURVE, LEVEL",DRY,WORN SURFACE
ROUNDABOUT,"CURVE, LEVEL",WET,NO DEFECTS
ROUNDABOUT,STRAIGHT AND LEVEL,DRY,NO DEFECTS
ROUNDABOUT,STRAIGHT AND LEVEL,DRY,OTHER
ROUNDABOUT,STRAIGHT AND LEVEL,DRY,"RUT, HOLES"
ROUNDABOUT,STRAIGHT AND LEVEL,DRY,SHOULDER DEFECT
ROUNDABOUT,STRAIGHT AND LEVEL,DRY,UNKNOWN
ROUNDABOUT,STRAIGHT AND LEVEL,DRY,WORN SURFACE
ROUNDABOUT,STRAIGHT AND LEVEL,ICE,NO DEFECTS
ROUNDABOUT,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS
ROUNDABOUT,STRAIGHT AND LEVEL,SNOW OR SLUSH,UNKNOWN
ROUNDABOUT,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS
ROUNDABOUT,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN
ROUNDABOUT,STRAIGHT AND LEVEL,WET,NO DEFECTS
ROUNDABOUT,STRAIGHT AND LEVEL,WET,UNKNOWN
ROUNDABOUT,STRAIGHT ON GRADE,DRY,NO DEFECTS
T-INTERSECTION,CURVE ON GRADE,DRY,NO DEFECTS
T-INTERSECTION,CURVE ON GRADE,WET,UNKNOWN
T-INTERSECTION,"CURVE, LEVEL",DRY,NO DEFECTS
T-INTERSECTION,"CURVE, LEVEL",DRY,UNKNOWN
T-INTERSECTION,"CURVE, LEVEL",DRY,WORN SURFACE
T-INTERSECTION,"CURVE, LEVEL",ICE,NO DEFECTS
T-INTERSECTION,"CURVE, LEVEL",SNOW OR SLUSH,NO DEFECTS
T-INTERSECTION,"CURVE, LEVEL",SNOW OR SLUSH,UNKNOWN
T-INTERSECTION,"CURVE, LEVEL",UNKNOWN,UNKNOWN
T-INTERSECTION,"CURVE, LEVEL",WET,NO DEFECTS
T-INTERSECTION,"CURVE, LEVEL",WET,OTHER
T-INTERSECTION,"CURVE, LEVEL",WET,SHOULDER DEFECT
T-INTERSECTION,"CURVE, LEVEL",WET,UNKNOWN
T-INTERSECTION,STRAIGHT AND LEVEL,DRY,DEBRIS ON ROADWAY
T-INTERSECTION,STRAIGHT AND LEVEL,DRY,NO DEFECTS
T-INTERSECTION,STRAIGHT AND LEVEL,DRY,OTHER
T-INTERSECTION,STRAIGHT AND LEVEL,DRY,"RUT, HOLES"
T-INTERSECTION,STRAIGHT AND LEVEL,DRY,SHOULDER DEFECT
T-INTERSECTION,STRAIGHT AND LEVEL,DRY,UNKNOWN
T-INTERSECTION,STRAIGHT AND LEVEL,DRY,WORN SURFACE
T-INTERSECTION,STRAIGHT AND LEVEL,ICE,NO DEFECTS
T-INTERSECTION,STRAIGHT AND LEVEL,ICE,OTHER
T-INTERSECTION,STRAIGHT AND LEVEL,ICE,UNKNOWN
T-INTERSECTION,STRAIGHT AND LEVEL,OTHER,NO DEFECTS
T-INTERSECTION,STRAIGHT AND LEVEL,OTHER,OTHER
T-INTERSECTION,STRAIGHT AND LEVEL,OTHER,"RUT, HOLES"
T-INTERSECTION,STRAIGHT AND LEVEL,OTHER,UNKNOWN
T-INTERSECTION,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS
T-INTERSECTION,STRAIGHT AND LEVEL,SNOW OR SLUSH,OTHER
T-INTERSECTION,STRAIGHT AND LEVEL,SNOW OR SLUSH,UNKNOWN
T-INTERSECTION,STRAIGHT AND LEVEL,SNOW OR SLUSH,WORN SURFACE
T-INTERSECTION,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS
T-INTERSECTION,STRAIGHT AND LEVEL,UNKNOWN,OTHER
T-INTERSECTION,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN
T-INTERSECTION,STRAIGHT AND LEVEL,UNKNOWN,WORN SURFACE
T-INTERSECTION,STRAIGHT AND LEVEL,WET,NO DEFECTS
T-INTERSECTION,STRAIGHT AND LEVEL,WET,OTHER
T-INTERSECTION,STRAIGHT AND LEVEL,WET,"RUT, HOLES"
T-INTERSECTION,STRAIGHT AND LEVEL,WET,SHOULDER DEFECT
T-INTERSECTION,STRAIGHT AND LEVEL,WET,UNKNOWN
T-INTERSECTION,STRAIGHT AND LEVEL,WET,WORN SURFACE
T-INTERSECTION,STRAIGHT ON GRADE,DRY,DEBRIS ON ROADWAY
T-INTERSECTION,STRAIGHT ON GRADE,DRY,NO DEFECTS
T-INTERSECTION,STRAIGHT ON GRADE,DRY,OTHER
T-INTERSECTION,STRAIGHT ON GRADE,DRY,UNKNOWN
T-INTERSECTION,STRAIGHT ON GRADE,ICE,UNKNOWN
T-INTERSECTION,STRAIGHT ON GRADE,SNOW OR SLUSH,NO DEFECTS
T-INTERSECTION,STRAIGHT ON GRADE,SNOW OR SLUSH,UNKNOWN
T-INTERSECTION,STRAIGHT ON GRADE,UNKNOWN,UNKNOWN
T-INTERSECTION,STRAIGHT ON GRADE,WET,NO DEFECTS
T-INTERSECTION,STRAIGHT ON GRADE,WET,SHOULDER DEFECT
T-INTERSECTION,STRAIGHT ON GRADE,WET,UNKNOWN
T-INTERSECTION,STRAIGHT ON HILLCREST,DRY,NO DEFECTS
T-INTERSECTION,STRAIGHT ON HILLCREST,DRY,SHOULDER DEFECT
T-INTERSECTION,STRAIGHT ON HILLCREST,DRY,UNKNOWN
T-INTERSECTION,STRAIGHT ON HILLCREST,DRY,WORN SURFACE
T-INTERSECTION,STRAIGHT ON HILLCREST,ICE,NO DEFECTS
T-INTERSECTION,STRAIGHT ON HILLCREST,UNKNOWN,UNKNOWN
T-INTERSECTION,STRAIGHT ON HILLCREST,WET,NO DEFECTS
T-INTERSECTION,STRAIGHT ON HILLCREST,WET,UNKNOWN
TRAFFIC ROUTE,CURVE ON GRADE,DRY,NO DEFECTS
TRAFFIC ROUTE,"CURVE, LEVEL",DRY,NO DEFECTS
TRAFFIC ROUTE,"CURVE, LEVEL",SNOW OR SLUSH,NO DEFECTS
TRAFFIC ROUTE,"CURVE, LEVEL",UNKNOWN,UNKNOWN
TRAFFIC ROUTE,"CURVE, LEVEL",WET,NO DEFECTS
TRAFFIC ROUTE,STRAIGHT AND LEVEL,DRY,DEBRIS ON ROADWAY
TRAFFIC ROUTE,STRAIGHT AND LEVEL,DRY,NO DEFECTS
TRAFFIC ROUTE,STRAIGHT AND LEVEL,DRY,OTHER
TRAFFIC ROUTE,STRAIGHT AND LEVEL,DRY,"RUT, HOLES"
TRAFFIC ROUTE,STRAIGHT AND LEVEL,DRY,UNKNOWN
TRAFFIC ROUTE,STRAIGHT AND LEVEL,DRY,WORN SURFACE
TRAFFIC ROUTE,STRAIGHT AND LEVEL,ICE,NO DEFECTS
TRAFFIC ROUTE,STRAIGHT AND LEVEL,ICE,UNKNOWN
TRAFFIC ROUTE,STRAIGHT AND LEVEL,OTHER,OTHER
TRAFFIC ROUTE,STRAIGHT AND LEVEL,OTHER,UNKNOWN
TRAFFIC ROUTE,STRAIGHT AND LEVEL,"SAND, MUD, DIRT",UNKNOWN
TRAFFIC ROUTE,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS
TRAFFIC ROUTE,STRAIGHT AND LEVEL,SNOW OR SLUSH,UNKNOWN
TRAFFIC ROUTE,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS
TRAFFIC ROUTE,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN
TRAFFIC ROUTE,STRAIGHT AND LEVEL,WET,NO DEFECTS
TRAFFIC ROUTE,STRAIGHT AND LEVEL,WET,SHOULDER DEFECT
TRAFFIC ROUTE,STRAIGHT AND LEVEL,WET,UNKNOWN
TRAFFIC ROUTE,STRAIGHT AND LEVEL,WET,WORN SURFACE
TRAFFIC ROUTE,STRAIGHT ON GRADE,DRY,NO DEFECTS
TRAFFIC ROUTE,STRAIGHT ON GRADE,DRY,UNKNOWN
TRAFFIC ROUTE,STRAIGHT ON GRADE,ICE,NO DEFECTS
TRAFFIC ROUTE,STRAIGHT ON GRADE,WET,NO DEFECTS
TRAFFIC ROUTE,STRAIGHT ON HILLCREST,WET,NO DEFECTS
UNKNOWN,CURVE ON GRADE,DRY,NO DEFECTS
UNKNOWN,"CURVE, LEVEL",DRY,NO DEFECTS
UNKNOWN,"CURVE, LEVEL",OTHER,NO DEFECTS
UNKNOWN,"CURVE, LEVEL",UNKNOWN,UNKNOWN
UNKNOWN,"CURVE, LEVEL",WET,NO DEFECTS
UNKNOWN,STRAIGHT AND LEVEL,DRY,NO DEFECTS
UNKNOWN,STRAIGHT AND LEVEL,DRY,OTHER
UNKNOWN,STRAIGHT AND LEVEL,DRY,"RUT, HOLES"
UNKNOWN,STRAIGHT AND LEVEL,DRY,UNKNOWN
UNKNOWN,STRAIGHT AND LEVEL,DRY,WORN SURFACE
UNKNOWN,STRAIGHT AND LEVEL,ICE,NO DEFECTS
UNKNOWN,STRAIGHT AND LEVEL,ICE,UNKNOWN
UNKNOWN,STRAIGHT AND LEVEL,OTHER,OTHER
UNKNOWN,STRAIGHT AND LEVEL,OTHER,UNKNOWN
UNKNOWN,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS
UNKNOWN,STRAIGHT AND LEVEL,SNOW OR SLUSH,UNKNOWN
UNKNOWN,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS
UNKNOWN,STRAIGHT AND LEVEL,UNKNOWN,"RUT, HOLES"
UNKNOWN,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN
UNKNOWN,STRAIGHT AND LEVEL,WET,NO DEFECTS
UNKNOWN,STRAIGHT AND LEVEL,WET,UNKNOWN
UNKNOWN,STRAIGHT ON GRADE,DRY,UNKNOWN
UNKNOWN,STRAIGHT ON GRADE,UNKNOWN,UNKNOWN
UNKNOWN,STRAIGHT ON HILLCREST,UNKNOWN,UNKNOWN
UNKNOWN INTERSECTION TYPE,CURVE ON GRADE,DRY,NO DEFECTS
UNKNOWN INTERSECTION TYPE,CURVE ON GRADE,DRY,"RUT, HOLES"
UNKNOWN INTERSECTION TYPE,CURVE ON GRADE,WET,NO DEFECTS
UNKNOWN INTERSECTION TYPE,CURVE ON HILLCREST,DRY,NO DEFECTS
UNKNOWN INTERSECTION TYPE,"CURVE, LEVEL",DRY,NO DEFECTS
UNKNOWN INTERSECTION TYPE,"CURVE, LEVEL",DRY,UNKNOWN
UNKNOWN INTERSECTION TYPE,"CURVE, LEVEL",UNKNOWN,UNKNOWN
UNKNOWN INTERSECTION TYPE,"CURVE, LEVEL",WET,NO DEFECTS
UNKNOWN INTERSECTION TYPE,"CURVE, LEVEL",WET,UNKNOWN
UNKNOWN INTERSECTION TYPE,STRAIGHT AND LEVEL,DRY,NO DEFECTS
UNKNOWN INTERSECTION TYPE,STRAIGHT AND LEVEL,DRY,OTHER
UNKNOWN INTERSECTION TYPE,STRAIGHT AND LEVEL,DRY,"RUT, HOLES"
UNKNOWN INTERSECTION TYPE,STRAIGHT AND LEVEL,DRY,SHOULDER DEFECT
UNKNOWN INTERSECTION TYPE,STRAIGHT AND LEVEL,DRY,UNKNOWN
UNKNOWN INTERSECTION TYPE,STRAIGHT AND LEVEL,DRY,WORN SURFACE
UNKNOWN INTERSECTION TYPE,STRAIGHT AND LEVEL,ICE,NO DEFECTS
UNKNOWN INTERSECTION TYPE,STRAIGHT AND LEVEL,ICE,UNKNOWN
UNKNOWN INTERSECTION TYPE,STRAIGHT AND LEVEL,OTHER,OTHER
UNKNOWN INTERSECTION TYPE,STRAIGHT AND LEVEL,OTHER,UNKNOWN
UNKNOWN INTERSECTION TYPE,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS
UNKNOWN INTERSECTION TYPE,STRAIGHT AND LEVEL,SNOW OR SLUSH,UNKNOWN
UNKNOWN INTERSECTION TYPE,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS
UNKNOWN INTERSECTION TYPE,STRAIGHT AND LEVEL,UNKNOWN,"RUT, HOLES"
UNKNOWN INTERSECTION TYPE,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN
UNKNOWN INTERSECTION TYPE,STRAIGHT AND LEVEL,WET,NO DEFECTS
UNKNOWN INTERSECTION TYPE,STRAIGHT AND LEVEL,WET,OTHER
UNKNOWN INTERSECTION TYPE,STRAIGHT AND LEVEL,WET,UNKNOWN
UNKNOWN INTERSECTION TYPE,STRAIGHT ON GRADE,DRY,NO DEFECTS
UNKNOWN INTERSECTION TYPE,STRAIGHT ON GRADE,DRY,UNKNOWN
UNKNOWN INTERSECTION TYPE,STRAIGHT ON GRADE,UNKNOWN,UNKNOWN
UNKNOWN INTERSECTION TYPE,STRAIGHT ON GRADE,WET,NO DEFECTS
UNKNOWN INTERSECTION TYPE,STRAIGHT ON GRADE,WET,UNKNOWN
UNKNOWN INTERSECTION TYPE,STRAIGHT ON HILLCREST,DRY,NO DEFECTS
Y-INTERSECTION,CURVE ON GRADE,DRY,UNKNOWN
Y-INTERSECTION,CURVE ON GRADE,UNKNOWN,UNKNOWN
Y-INTERSECTION,CURVE ON GRADE,WET,NO DEFECTS
Y-INTERSECTION,CURVE ON HILLCREST,DRY,UNKNOWN
Y-INTERSECTION,"CURVE, LEVEL",DRY,NO DEFECTS
Y-INTERSECTION,"CURVE, LEVEL",DRY,"RUT, HOLES"
Y-INTERSECTION,"CURVE, LEVEL",DRY,UNKNOWN
Y-INTERSECTION,"CURVE, LEVEL",ICE,NO DEFECTS
Y-INTERSECTION,"CURVE, LEVEL",UNKNOWN,UNKNOWN
Y-INTERSECTION,"CURVE, LEVEL",WET,NO DEFECTS
Y-INTERSECTION,"CURVE, LEVEL",WET,UNKNOWN
Y-INTERSECTION,STRAIGHT AND LEVEL,DRY,NO DEFECTS
Y-INTERSECTION,STRAIGHT AND LEVEL,DRY,"RUT, HOLES"
Y-INTERSECTION,STRAIGHT AND LEVEL,DRY,SHOULDER DEFECT
Y-INTERSECTION,STRAIGHT AND LEVEL,DRY,UNKNOWN
Y-INTERSECTION,STRAIGHT AND LEVEL,DRY,WORN SURFACE
Y-INTERSECTION,STRAIGHT AND LEVEL,ICE,NO DEFECTS
Y-INTERSECTION,STRAIGHT AND LEVEL,ICE,OTHER
Y-INTERSECTION,STRAIGHT AND LEVEL,ICE,UNKNOWN
Y-INTERSECTION,STRAIGHT AND LEVEL,OTHER,NO DEFECTS
Y-INTERSECTION,STRAIGHT AND LEVEL,OTHER,"RUT, HOLES"
Y-INTERSECTION,STRAIGHT AND LEVEL,OTHER,UNKNOWN
Y-INTERSECTION,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS
Y-INTERSECTION,STRAIGHT AND LEVEL,SNOW OR SLUSH,SHOULDER DEFECT
Y-INTERSECTION,STRAIGHT AND LEVEL,SNOW OR SLUSH,UNKNOWN
Y-INTERSECTION,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS
Y-INTERSECTION,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN
Y-INTERSECTION,STRAIGHT AND LEVEL,WET,NO DEFECTS
Y-INTERSECTION,STRAIGHT AND LEVEL,WET,OTHER
Y-INTERSECTION,STRAIGHT AND LEVEL,WET,"RUT, HOLES"
Y-INTERSECTION,STRAIGHT AND LEVEL,WET,UNKNOWN
Y-INTERSECTION,STRAIGHT ON GRADE,DRY,NO DEFECTS
Y-INTERSECTION,STRAIGHT ON GRADE,DRY,UNKNOWN
Y-INTERSECTION,STRAIGHT ON GRADE,ICE,NO DEFECTS
Y-INTERSECTION,STRAIGHT ON GRADE,SNOW OR SLUSH,NO DEFECTS
Y-INTERSECTION,STRAIGHT ON GRADE,WET,NO DEFECTS
Y-INTERSECTION,STRAIGHT ON GRADE,WET,WORN SURFACE
Y-INTERSECTION,STRAIGHT ON HILLCREST,UNKNOWN,NO DEFECTS
